item,brand,category,collaboration,connection,retail_price,release_year,current_resale,price_low,price_high,volatility_pct,sales_volume,distribution_restriction,access_restriction,replenishment_scarcity,replenishment_status,retail_scarcity_score,scarcity_score,scarcity_confidence,scarcity_basis,legacy_scarcity_score,benchmark_sample,item_cagr,matched_sp_cagr,excess_cagr,beat_sp500,data_status,source,source_url
Fear of God Essentials Hoodie Stretch Limo,Fear of God Essentials,Streetwear,,,100,2022,303,231,376,25,90,0,0,0,Observed,0,0,High,Essentials classic/core line with broad official stockist network and ordinary availability,45,Yes,0.27934374697647724,0.12215651498655733,0.1571872319899199,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/fear-of-god-essentials-pullover-hoodie-stretch-limo
Fear of God Essentials Sweatpants Stretch Limo,Fear of God Essentials,Streetwear,,,100,2022,159,48,303,24,80,0,0,0,Observed,0,0,High,Essentials classic/core line with broad official stockist network and ordinary availability,42,Yes,0.10854905612667975,0.12215651498655733,-0.013607458859877575,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/fear-of-god-essentials-sweatpants-stretch-limo
Hellstar Studios Brainwashed Hoodie Black,Hellstar,Streetwear,,,250,2023,510,262,510,34,20,75,25,100,Observed,73.75,73.75,Medium,Seasonal Hellstar graphic hoodie sold as limited collection/drop; no exact rerelease found,70,Yes,0.2259302518866455,0.22785079680057452,-0.001920544913929012,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/hellstar-sport-hoodie-black
Hellstar Studios Sports Logo Hoodie Black,Hellstar,Streetwear,,,150,2024,389,181,450,32,25,75,25,,Age-adjusted / R withheld,59.62,59.62,Medium,Seasonal Hellstar 2024 sport-logo drop; recurrence withheld because exact age is near/below 24-month maturity threshold,66,Yes,0.46400761907074917,0.2141050055954572,0.24990261347529197,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/hellstar-sport-logo-hoodie-black
Kith Box Logo Hoodie Black,Kith,Streetwear,,,165,2024,195,109,195,25,15,100,25,,Age-adjusted / R withheld,76.92,76.92,High,Kith x BMW seasonal collaboration through Kith ecosystem; recurrence withheld because release is <24 months old,52,Yes,0.06910476908179763,0.2141050055954572,-0.14500023651365956,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/kith-x-bmw-nelson-box-logo-hoodie-gotham
Sp5der Web Hoodie Black,Sp5der,Streetwear,,,200,2024,287,200,284,34,24,75,25,100,Observed,73.75,73.75,Medium,Exact seasonal OG Web colorway with dated release; direct/select distribution; no exact-color rerelease found,70,Yes,0.1554223402442496,0.2141050055954572,-0.058682665351207586,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/sp5der-og-web-hoodie-black
Sp5der Web Hoodie Pink,Sp5der,Streetwear,,,200,2023,299,200,290,35,22,75,25,100,Observed,73.75,73.75,Medium,Exact seasonal OG Web colorway with dated release; direct/select distribution; no exact-color rerelease found,72,Yes,0.1217536300798332,0.22785079680057452,-0.10609716672074132,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/sp5der-og-web-hoodie-pink
Stussy 8 Ball Sherpa Jacket Natural,Stussy,Streetwear,,,220,2021,350,154,350,28,18,50,25,50,Observed,45,45,Medium,Stussy 8 Ball Sherpa seasonal product with later releases/replenishment in the 8 Ball Sherpa family,70,Yes,0.0880849250268434,0.15048859547142568,-0.06240367044458228,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/stussy-8-ball-sherpa-reversible-jacket-green
Stussy 8 Ball Sherpa Reversible Jacket Orange,Stussy,Streetwear,,,220,2022,426,294,557,24,2,50,25,100,Observed,62.5,62.5,Medium,Exact orange FW22 8 Ball Sherpa seasonal color; no exact-color rerelease found,70,Yes,0.1581768256212004,0.12215651498655733,0.03602031063464306,True,verified_snapshot,StockX 3M market data,https://stockx.com/stussy-8-ball-sherpa-reversible-jacket-orange
Stussy Sherpa Reversible Jacket Natural,Stussy,Streetwear,,,220,2024,221,80,437,24,3,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Seasonal 2024 Stussy Sherpa; recurrence withheld because exact release date/reissue window is not sufficiently mature/verified,60,Yes,0.0018157084721568406,0.2141050055954572,-0.21228929712330036,False,verified_snapshot,StockX 3M market data,https://stockx.com/stussy-sherpa-reversible-jacket-natural
Supreme Box Logo Hoodie FW16 Black,Supreme,Streetwear,,,168,2016,289,270,307,21,2,100,25,100,Observed,85,85,High,Supreme-only scheduled seasonal Box Logo exact color/year; no exact-SKU rerelease,82,Yes,0.053020935915499834,0.15129589756859052,-0.09827496165309069,False,verified_snapshot,StockX 3M market data,https://stockx.com/supreme-box-logo-hooded-sweatshirt-black
Supreme Box Logo Hoodie FW16 Sage,Supreme,Streetwear,,,168,2016,720,719,719,28,1,100,25,100,Observed,85,85,High,Supreme-only scheduled seasonal Box Logo exact color/year; no exact-SKU rerelease,88,Yes,0.14866314557242766,0.15129589756859052,-0.002632751996162863,False,verified_snapshot,StockX 3M market data,https://stockx.com/supreme-box-logo-hooded-sweatshirt-sage
Supreme Box Logo Hoodie FW21 Charcoal,Supreme,Streetwear,,,168,2021,229,136,497,40,19,100,25,100,Observed,85,85,High,Supreme-only scheduled seasonal Box Logo exact color/year; no exact-SKU rerelease,72,Yes,0.05793578909168162,0.15048859547142568,-0.09255280637974406,False,verified_snapshot,StockX 3M market data,https://stockx.com/supreme-box-logo-hooded-sweatshirt-fw21-charcoal
Supreme Box Logo Tee 20th Anniversary Black,Supreme,Streetwear,,,32,2014,375,293,500,28,7,100,25,100,Observed,85,85,High,Supreme-only scheduled seasonal Box Logo exact color/year; no exact-SKU rerelease,88,Yes,0.21761643981544654,0.13849468706622314,0.0791217527492234,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-20th-anniversary-box-logo-tee-black
Supreme Burberry Box Logo Hoodie Grey,Supreme,Streetwear,,,198,2022,375,345,435,23,10,75,25,100,Observed,73.75,73.75,High,Supreme x Burberry sold through Supreme/Burberry limited channels; scheduled drop; no exact rerelease,78,Yes,0.15248931093909124,0.12215651498655733,0.03033279595253391,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-burberry-box-logo-hooded-sweatshirt-heather-grey
Supreme Burberry Box Logo Tee White,Supreme,Streetwear,,,54,2022,273,200,376,26,11,75,25,100,Observed,73.75,73.75,High,Supreme x Burberry sold through Supreme/Burberry limited channels; scheduled drop; no exact rerelease,78,Yes,0.43348477952340203,0.12215651498655733,0.3113282645368447,True,verified_snapshot,StockX 3M market data,https://stockx.com/supreme-burberry-box-logo-tee-white
Supreme x MM6 Maison Margiela Box Logo Hoodie Black,Supreme,Streetwear,,,298,2026,370,298,590,28,10,100,25,,Age-adjusted / R withheld,76.92,76.92,High,Supreme x MM6 SS26 exact zip hoodie through Supreme drop; <24 months,80,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-mm6-maison-margiela-box-logo-zip-up-hooded-sweatshirt-black
Supreme x MM6 Maison Margiela Box Logo Tee White,Supreme,Streetwear,,,88,2024,174,166,214,30,18,100,25,100,Observed,85,85,High,Supreme x MM6 SS24 exact tee through Supreme drop; no rerelease,78,Yes,0.3134895757783971,0.2141050055954572,0.09938457018293989,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-mm6-maison-margiela-box-logo-tee-white
Supreme x The North Face Mountain Baltoro Jacket Black,Supreme,Streetwear,,,498,2019,401,401,750,30,6,100,25,100,Observed,85,85,High,Supreme x TNF seasonal exact jacket through Supreme; no rerelease,84,Yes,-0.028471965147368716,0.17565426453483535,-0.20412622968220406,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-the-north-face-statue-of-liberty-baltoro-jacket-black
Chrome Hearts Cross Patch Denim Black,Chrome Hearts,Luxury Streetwear,,,1500,2021,6798,2687,7644,32,18,75,25,100,Observed,73.75,73.75,Medium,Chrome Hearts controlled boutique/authorized-retailer network; exact specialty denim configurations not recurring/core,90,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/search?s=chrome+hearts+cross+patch+denim+black
Chrome Hearts Cross Patch Denim Blue,Chrome Hearts,Luxury Streetwear,,,1500,2021,4200,3000,6200,30,3,75,25,100,Observed,73.75,73.75,Medium,Chrome Hearts controlled boutique/authorized-retailer network; exact specialty denim configurations not recurring/core,88,No,,,,,low_volume_snapshot,Low-volume luxury resale estimate; replace with sold data,
Chrome Hearts Fleur Knee Cross Patch Jeans Blue,Chrome Hearts,Luxury Streetwear,,,1500,2021,4900,4900,4900,18,1,75,25,100,Observed,73.75,73.75,Medium,Chrome Hearts controlled boutique/authorized-retailer network; exact specialty denim configurations not recurring/core,90,No,,,,,low_volume_snapshot,Visible last-sale / low-volume market snapshot,https://stockx.com/chrome-hearts-fleur-knee-cross-patch-jeans-blue
Chrome Hearts Vintage Levi's Stencil Cross Patch Denim Blue,Chrome Hearts,Luxury Streetwear,,,1500,2021,7515,7515,7515,20,1,75,25,100,Observed,73.75,73.75,Medium,Chrome Hearts controlled boutique/authorized-retailer network; exact specialty denim configurations not recurring/core,92,No,,,,,low_volume_snapshot,Visible last-sale / low-volume market snapshot,https://stockx.com/chrome-hearts-vintage-levis-stencil-cross-patch-denim-blue
Hermès Birkin 25 Epsom Rose Sakura Palladium Hardware,Hermès,Luxury Streetwear,,,12000,2010,30000,22000,38000,24,4,100,75,100,Observed,95,95,High,Birkin store-only allocation; Rose Sakura exact configuration is discontinued/non-core and not regularly replenished,96,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/hermes-birkin-epsom-25-black-gold
Hermès Birkin 25 Sellier Epsom Black Gold Hardware,Hermès,Luxury Streetwear,,,12000,2010,30000,22000,38000,20,8,100,75,75,Observed,86.25,86.25,High,"Birkin sold only in Hermès stores; offer/appointment/availability controlled; exact configurations recur irregularly, not continuously",92,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/hermes-birkin-epsom-25-black-gold
Hermès Birkin 25 Togo Black Gold Hardware,Hermès,Luxury Streetwear,,,11000,2010,30000,23000,37995,18,12,100,75,75,Observed,86.25,86.25,High,"Birkin sold only in Hermès stores; offer/appointment/availability controlled; exact configurations recur irregularly, not continuously",90,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/hermes-birkin-togo-25-noir
Hermès Birkin 30 Togo Gold Gold Hardware,Hermès,Luxury Streetwear,,,14900,2010,26700,14963,33500,17,15,100,75,75,Observed,86.25,86.25,High,"Birkin sold only in Hermès stores; offer/appointment/availability controlled; exact configurations recur irregularly, not continuously",86,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/hermes-birkin-togo-30-gold
Hermès Birkin 35 Togo Etoupe Palladium Hardware,Hermès,Luxury Streetwear,,,13500,2010,18000,13123,36500,16,10,100,75,75,Observed,86.25,86.25,High,"Birkin sold only in Hermès stores; offer/appointment/availability controlled; exact configurations recur irregularly, not continuously",82,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/hermes-birkin-togo-35-noir-palladium
Supreme x Louis Vuitton Box Logo Tee White,Supreme,Luxury Streetwear,,,485,2017,900,485,847,35,3,100,50,100,Observed,90,90,High,Limited 2017 Supreme x Louis Vuitton pop-up retail locations; one-time collaboration; controlled physical release,96,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-louis-vuitton-box-logo-tee-white
Supreme x Louis Vuitton Hoodie Red,Supreme,Luxury Streetwear,,,935,2017,2899,935,3600,38,2,100,50,100,Observed,90,90,High,Limited 2017 Supreme x Louis Vuitton pop-up retail locations; one-time collaboration; controlled physical release,98,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/supreme-louis-vuitton-box-logo-hooded-sweatshirt-red
Nike CPFM Flea 1 Cactus Plant Flea Market Overgrown,Nike,Sneaker,Cactus Plant Flea Market,Streetwear,190,2022,341,225,699,44,61,75,50,100,Observed,78.75,78.75,High,CPFM site then Nike/SNKRS/select channel; limited collab; no exact rerelease,82,No,,,,,low_volume_snapshot,StockX 3M market data; added May 2026,https://stockx.com/nike-dunk-low-cactus-plant-flea-market-grinch
Nike Dunk Low CPFM Swarovski Pure Platinum,Nike,Sneaker,Cactus Plant Flea Market,Streetwear,500,2020,4576,3400,7500,30,5,100,75,100,Observed,95,95,High,CPFM website raffle exclusive for Swarovski Dunk; no exact rerelease,96,No,,,,,low_volume_snapshot,StockX 3M market data; added May 2026,https://stockx.com/nike-dunk-low-cpfm-pure-platinum
Nike Dunk Low Cactus Plant Flea Market Swamp Sponge Sequoia,Nike,Sneaker,Cactus Plant Flea Market,Streetwear,155,2025,285,170,750,38,95,50,75,,Age-adjusted / R withheld,57.69,57.69,High,CPFM website raffle + planned/wider Nike SNKRS; <24 months,72,No,,,,,low_volume_snapshot,StockX/product-page range snapshot; added May 2026,https://stockx.com/nike-dunk-low-cactus-plant-flea-market-swamp-sponge-sequoia
Aime Leon Dore Uniform Hoodie Oatmeal,Aime Leon Dore,Streetwear,,,185,2024,500,65,500,24,1,75,25,50,Observed,56.25,56.25,Medium,ALD direct/select distribution; Uniform/tonal-logo hoodie family recurs across collections,54,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/aime-leon-dore-uniform-hoodie-oatmeal
BAPE Shark Full Zip Hoodie Purple,BAPE,Streetwear,,,399,2018,399,165,665,22,5,50,0,25,Observed,31.25,31.25,High,BAPE Shark family is recurring/permanent; exact purple seasonal color but product architecture repeats,66,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/bape-shark-full-zip-hoodie-purple
Palace Tri-Ferg Hoodie Grey,Palace,Streetwear,,,168,2025,50,50,168,28,1,75,25,,Age-adjusted / R withheld,59.62,59.62,Medium,Palace seasonal Tri-Ferg drop through Palace retail; <24 months,58,No,,,,,low_volume_snapshot,StockX real data (collected June 2026),https://stockx.com/palace-tri-ferg-hood-grey-marl
Chrome Hearts Dagger Zip Hoodie Black,Chrome Hearts,Luxury Streetwear,,,900,2020,2355,1325,2500,28,8,75,25,100,Observed,73.75,73.75,Medium,Controlled Chrome Hearts retail; exact Dagger zip configuration not recurring/core,84,No,,,,,low_volume_snapshot,Proxy: Chrome Hearts zip-up comparable (June 2026),https://stockx.com/chrome-hearts-horseshoe-floral-cross-sleeve-zip-up-hoodie-black-white
Chrome Hearts Hoodie Horseshoe Black,Chrome Hearts,Luxury Streetwear,,,550,2020,1900,1325,2050,22,10,75,25,50,Observed,56.25,56.25,Medium,Controlled Chrome Hearts retail; Horseshoe hoodie family recurs,75,Yes,0.21012259772746478,0.1555817775311361,0.054540820196328665,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/chrome-hearts-horse-shoe-floral-hoodie-black
Nike SB Dunk Low Diamond Supply Co Tiffany,Nike,Sneaker,Diamond Supply Co.,Streetwear,100,2005,1800,900,3200,32,12,75,50,100,Observed,78.75,78.75,High,Diamond Supply Tiffany SB was select skate-shop/retailer release; no authorized rerelease,97,No,,,,,low_volume_snapshot,StockX low-volume snapshot,https://stockx.com/nike-sb-dunk-low-diamond-supply-co-tiffany
Nike SB Dunk Low Mummy,Nike,Sneaker,,Streetwear,100,2011,850,400,1400,30,15,75,50,100,Observed,78.75,78.75,High,Nike SB Mummy select skate shops + SNKRS; one exact release,84,No,,,,,low_volume_snapshot,StockX low-volume snapshot,https://stockx.com/nike-sb-dunk-low-mummy
Nike SB Dunk Low Orange Lobster,Nike,Sneaker,Concepts,Streetwear,100,2009,3500,2000,5500,35,8,75,50,100,Observed,78.75,78.75,High,Concepts Orange Lobster select skate shops/SNKRS; one exact release,79,No,,,,,low_volume_snapshot,StockX low-volume snapshot,https://stockx.com/nike-sb-dunk-low-orange-lobster
Nike SB Dunk Low StrangeLove Skateboards,Nike,Sneaker,StrangeLove,Streetwear,100,2020,639,330,998,28,25,75,75,100,Observed,83.75,83.75,High,StrangeLove SB select skate shops + SNKRS draw/raffles; one exact release,91,Yes,0.3302191905749299,0.1555817775311361,0.17463741304379377,True,verified_snapshot,StockX verified snapshot,https://stockx.com/nike-sb-dunk-low-strangelove-skateboards
